USER_DATA1,USER_DATA2,USER_DATA3,USER_DATA4,USER_DATA5,USER_DATA6,USER_DATA7
2953,1895,3544,3492,1877,2860,503
2958,1919,3506,3511,1881,2892,503
2953,1909,3544,3473,1877,2869,515
2944,1905,3464,3497,1886,2817,503
2944,1928,3534,3497,1848,2892,503
2958,1928,3539,3483,1858,2869,515
2963,1947,3544,3478,1844,2864,503
2958,1900,3543,3516,1862,2869,503
2972,1933,3502,3506,1853,2864,503
2953,1919,3534,3473,1848,2911,503
2986,1914,3516,3492,1881,2860,515
2935,1923,3530,3520,1891,2860,503
2977,1933,3502,3492,1886,2878,503
2996,1919,3544,3478,1905,2869,503
2968,1914,3544,3483,1905,2869,515
2953,1905,3544,3520,1877,2869,503
2963,1909,3534,3506,1881,2874,503
2949,1909,3497,3497,1853,2850,503
2977,1909,3530,3492,1853,2897,515
2968,1900,3511,3455,1886,2878,503
2953,1933,3539,3520,1867,2860,503
2972,1909,3511,3492,1872,2878,503
2968,1914,3534,3473,1867,2874,503
2949,1891,3525,3473,1862,2874,503
2939,1919,3511,3525,1862,2855,503
2963,1905,3539,3488,1867,2892,503
2925,1923,3497,3483,1872,2864,503
2944,1928,3544,3525,1877,2850,515
2935,1938,3530,3492,1858,2878,503
2986,1914,3539,3539,1844,2864,503
2939,1923,3506,3497,1881,2860,503
2939,1942,3530,3488,1895,2888,503
2991,1919,3539,3511,1872,2855,503
2968,1923,3511,3534,1877,2883,515
2939,1914,3549,3464,1867,2897,503
2968,1909,3543,3455,1881,2897,515
2972,1919,3511,3511,1881,2883,503
2953,1938,3525,3478,1872,2874,503
2949,1909,3539,3473,1886,2892,503
2953,1928,3549,3497,1891,2897,503
2944,1938,3525,3497,1881,2841,503
2935,1909,3520,3525,1867,2864,503
2986,1914,3502,3506,1891,2878,503
2958,1891,3534,3520,1886,2892,515
2963,1905,3520,3520,1877,2850,503
2963,1933,3511,3502,1858,2878,503
2930,1895,3530,3488,1881,2864,503
2949,1900,3525,3445,1872,2874,503
2958,1923,3544,3469,1877,2911,503
2949,1923,3506,3530,1891,2888,503
2939,1909,3534,3516,1858,2888,503
2968,1928,3511,3497,1877,2855,515
2972,1914,3539,3483,1862,2864,503
2930,1914,3530,3502,1844,2864,515
2968,1928,3534,3455,1872,2883,503
2972,1919,3530,3469,1877,2841,503
2958,1909,3548,3502,1853,2902,503
2949,1923,3506,3488,1895,2855,503
2963,1938,3525,3516,1853,2869,503
2972,1905,3516,3483,1853,2860,515
2925,1914,3534,3530,1877,2836,503
2972,1900,3549,3525,1909,2855,503
2982,1914,3506,3516,1872,2850,503
2963,1914,3549,3483,1877,2883,503
2968,1909,3525,3469,1881,2878,503
2939,1914,3483,3511,1867,2869,515
2986,1956,3539,3534,1872,2864,503
2939,1933,3520,3502,1877,2874,503
2991,1891,3543,3492,1858,2883,503
2949,1891,3497,3530,1895,2874,503
2949,1952,3553,3483,1877,2869,503
2977,1928,3549,3502,1862,2864,503
2986,1919,3534,3502,1862,2878,503
2939,1928,3530,3497,1858,2888,503
2930,1933,3506,3511,1881,2860,503
2972,1938,3525,3497,1895,2864,515
2935,1895,3516,3473,1848,2850,503
2963,1923,3530,3483,1858,2878,503
2968,1914,3502,3488,1848,2883,503
2972,1923,3516,3483,1872,2888,503
2972,1933,3534,3488,1872,2846,503
2968,1905,3520,3511,1853,2883,503
2944,1923,3549,3525,1849,2869,503
2968,1895,3492,3478,1844,2874,503
2963,1942,3534,3492,1872,2850,515
2991,1942,3497,3516,1848,2846,503
2958,1909,3539,3502,1881,2874,515
2963,1919,3525,3469,1849,2864,503
2939,1923,3520,3450,1886,2878,503
2982,1900,3544,3473,1858,2892,503
2986,1895,3502,3473,1872,2888,503
2944,1947,3543,3483,1867,2841,503
2935,1914,3544,3502,1881,2878,503
2968,1928,3553,3488,1858,2869,503
2953,1919,3506,3520,1900,2874,503
2953,1923,3553,3520,1858,2883,503
2944,1919,3511,3488,1877,2846,503
2930,1938,3525,3473,1848,2869,503
2958,1933,3520,3455,1853,2883,503
2963,1905,3543,3483,1872,2892,515
2925,1909,3539,3469,1886,2874,503
2972,1900,3516,3483,1872,2892,503
2953,1938,3534,3497,1830,2888,503
2977,1928,3516,3469,1858,2878,503
2949,1914,3557,3497,1853,2897,503
2944,1923,3502,3459,1886,2897,515
2958,1909,3520,3516,1848,2869,503
2972,1909,3530,3492,1905,2874,503
2968,1933,3548,3445,1848,2883,503
2963,1923,3520,3478,1867,2888,503
2958,1900,3543,3511,1881,2907,503
2958,1933,3549,3506,1849,2911,503
2972,1905,3549,3497,1891,2850,503
2935,1895,3539,3473,1877,2874,515
2939,1933,3544,3502,1840,2864,503
2963,1923,3530,3478,1886,2836,515
2972,1952,3511,3473,1872,2864,503
2944,1933,3530,3450,1877,2846,515
2944,1947,3502,3473,1881,2897,503
2982,1919,3539,3492,1835,2822,503
2949,1919,3520,3492,1853,2874,515
2977,1938,3497,3483,1858,2869,503
2968,1919,3534,3469,1872,2878,503
2977,1928,3511,3459,1886,2878,503
2963,1919,3543,3483,1853,2874,503
2968,1923,3502,3464,1872,2874,503
2953,1900,3483,3488,1891,2888,503
2944,1919,3502,3502,1877,2878,503
2921,1914,3530,3516,1881,2850,503
2944,1900,3539,3488,1867,2869,515
2949,1923,3530,3450,1858,2892,503
2935,1923,3511,3520,1858,2888,515
2953,1938,3530,3502,1862,2874,503
2939,1928,3506,3502,1858,2869,503
2949,1895,3530,3506,1844,2874,503
2972,1942,3544,3488,1891,2841,503
2972,1914,3516,3464,1858,2869,503
2958,1923,3539,3511,1849,2892,515
2953,1919,3520,3488,1858,2897,503
2958,1905,3549,3492,1867,2892,503
2963,1938,3502,3502,1867,2846,503
2953,1933,3525,3483,1900,2869,503
2953,1909,3525,3464,1891,2874,503
2939,1923,3530,3516,1849,2864,503
2963,1952,3525,3511,1881,2874,503
2968,1905,3530,3483,1877,2878,503
2939,1919,3516,3497,1877,2883,503
2958,1928,3549,3483,1853,2846,503
3010,1914,3539,3520,1862,2836,515
2963,1900,3544,3520,1881,2874,503
2982,1919,3511,3506,1867,2874,503
2972,1909,3492,3506,1862,2869,503
2968,1928,3548,3506,1872,2855,503
2963,1900,3520,3488,1849,2892,503
2968,1923,3543,3492,1881,2850,503
2972,1923,3497,3488,1877,2850,503
2958,1928,3530,3502,1877,2874,503
2968,1919,3530,3492,1853,2860,515
2958,1923,3553,3464,1844,2860,503
2939,1886,3502,3469,1881,2892,503
2972,1923,3530,3511,1872,2855,503
2972,1900,3516,3483,1867,2874,503
2977,1877,3534,3492,1862,2883,503
2930,1923,3543,3525,1849,2869,515
2916,1942,3549,3492,1891,2874,503
2968,1895,3544,3506,1881,2846,503
2968,1933,3525,3483,1872,2869,503
2949,1909,3516,3464,1853,2860,503
2982,1909,3520,3478,1886,2864,515
2963,1919,3511,3511,1877,2878,503
2925,1923,3539,3478,1881,2883,503
2991,1942,3534,3497,1900,2864,503
2982,1923,3534,3539,1886,2888,515
2953,1923,3530,3497,1858,2850,503
2958,1928,3506,3469,1895,2892,515
2939,1905,3539,3506,1849,2827,503
2949,1928,3530,3473,1867,2878,515
2972,1914,3530,3516,1881,2883,503
2972,1933,3492,3473,1891,2864,503
2953,1947,3534,3469,1877,2846,515
2953,1909,3530,3497,1895,2892,503
2968,1938,3530,3488,1877,2878,515
2949,1942,3516,3506,1867,2897,503
2953,1928,3488,3483,1853,2864,503
2991,1900,3520,3497,1867,2888,503
3000,1891,3553,3511,1862,2869,515
3000,1909,3520,3506,1886,2897,503
2953,1933,3539,3483,1877,2846,515
2949,1919,3511,3488,1872,2878,503
2944,1919,3548,3511,1891,2864,503
2977,1919,3502,3478,1872,2888,503
2939,1923,3543,3511,1877,2878,503
2925,1933,3506,3502,1872,2850,503
2977,1947,3534,3478,1872,2892,503
2968,1905,3502,3497,1830,2850,503
2963,1923,3548,3492,1886,2855,503
2953,1919,3525,3478,1867,2846,503
2977,1923,3534,3520,1886,2860,503
2982,1909,3539,3492,1891,2892,515
2963,1919,3539,3464,1858,2836,515
2996,1914,3544,3473,1877,2864,515
2935,1928,3488,3511,1858,2883,503
2939,1928,3534,3478,1891,2883,503
2991,1914,3544,3497,1881,2860,503
2953,1928,3520,3492,1877,2883,503
2972,1942,3530,3478,1891,2860,503
2953,1909,3520,3464,1881,2888,503
2925,1919,3543,3511,1877,2878,503
2958,1933,3516,3473,1844,2878,503
2949,1933,3548,3497,1848,2860,515
2949,1923,3520,3511,1867,2878,503
2944,1909,3530,3488,1867,2883,503
2949,1938,3525,3488,1872,2878,503
2977,1923,3502,3497,1867,2864,503
2944,1923,3544,3488,1853,2897,503
2963,1919,3516,3492,1867,2878,503
2972,1933,3544,3488,1872,2869,503
2982,1933,3497,3497,1848,2888,503
2953,1919,3548,3502,1853,2874,503
2972,1933,3483,3492,1830,2864,503
2968,1938,3534,3483,1895,2864,503
2968,1919,3525,3516,1881,2878,503
2944,1909,3525,3469,1891,2855,515
2953,1895,3516,3483,1895,2864,503
2963,1900,3539,3492,1872,2846,492
2958,1933,3511,3511,1881,2874,503
2963,1928,3553,3492,1867,2864,503
2958,1933,3525,3502,1867,2878,492
2925,1905,3543,3483,1895,2855,503
2949,1905,3516,3520,1862,2897,503
2958,1909,3539,3506,1877,2869,503
2925,1933,3539,3497,1862,2883,503
2968,1919,3549,3516,1848,2832,503
2968,1909,3516,3502,1858,2897,515
2958,1895,3516,3516,1891,2864,503
2958,1909,3539,3473,1872,2822,503
2963,1923,3534,3511,1877,2869,503
2949,1919,3530,3525,1858,2864,503
2935,1923,3516,3520,1862,2864,515
2949,1909,3525,3478,1877,2878,515
2935,1923,3544,3483,1872,2864,503
2953,1919,3488,3511,1867,2878,503
2953,1928,3525,3473,1867,2878,503
2939,1909,3539,3506,1886,2846,515
2977,1933,3539,3497,1872,2888,503
2953,1923,3525,3473,1872,2874,503
2991,1886,3473,3497,1853,2869,503
2935,1909,3511,3464,1877,2827,503
2968,1905,3525,3473,1848,2864,503
2958,1905,3539,3492,1872,2878,503
2972,1933,3534,3473,1862,2888,492
2939,1933,3539,3497,1835,2864,503
2949,1895,3502,3511,1881,2846,503
2977,1905,3525,3544,1853,2874,503
2968,1923,3544,3516,1844,2897,503
2963,1956,3520,3502,1844,2864,503
2963,1909,3543,3488,1840,2860,503
2972,1900,3544,3492,1872,2883,503
2953,1919,3497,3488,1844,2850,503
2958,1923,3506,3502,1877,2832,503
2972,1900,3544,3506,1877,2864,503
2944,1919,3525,3511,1877,2874,503
2963,1905,3543,3492,1862,2897,503
2968,1895,3557,3492,1862,2878,503
2939,1942,3544,3497,1877,2869,503
2939,1928,3530,3497,1862,2860,503
2953,1933,3511,3525,1872,2878,503
2963,1905,3516,3516,1867,2888,503
2939,1923,3549,3506,1872,2878,503
2958,1900,3549,3520,1862,2878,503
2963,1919,3548,3478,1900,2860,503
2944,1914,3520,3492,1881,2874,503
2963,1947,3543,3483,1891,2850,503
2972,1923,3520,3473,1844,2864,503
2930,1905,3534,3492,1853,2902,503
2977,1900,3543,3483,1862,2878,503
2953,1947,3539,3492,1844,2860,503
2953,1933,3511,3478,1881,2874,503
2963,1933,3544,3511,1853,2855,503
2944,1919,3553,3549,1877,2855,503
2958,1905,3525,3506,1858,2860,503
2991,1928,3516,3502,1886,2860,503
2944,1928,3530,3492,1886,2869,503
2963,1933,3549,3483,1849,2883,503
2972,1900,3539,3506,1867,2878,503
2982,1900,3506,3488,1848,2874,503
2949,1923,3502,3506,1867,2874,503
2968,1952,3534,3469,1881,2855,503
2968,1928,3544,3506,1877,2836,515
2916,1895,3478,3478,1886,2878,503
2953,1952,3534,3497,1862,2883,515
2949,1923,3539,3488,1909,2864,503
2963,1909,3516,3511,1877,2855,503
2949,1909,3539,3506,1853,2864,503
2939,1905,3520,3502,1867,2874,503
2958,1933,3539,3464,1877,2878,503
2949,1900,3530,3483,1858,2883,515
2944,1923,3525,3455,1891,2874,503
2949,1909,3543,3511,1891,2869,503
2958,1886,3548,3464,1905,2846,515
2977,1919,3516,3497,1881,2860,503
2991,1938,3539,3497,1867,2874,503
2977,1933,3544,3492,1858,2864,503
2968,1919,3511,3492,1877,2864,503
2958,1933,3530,3497,1886,2892,503
2949,1919,3544,3497,1858,2902,503
2972,1895,3525,3525,1886,2878,503
2925,1919,3520,3516,1886,2860,515
2935,1933,3543,3520,1905,2855,503
2986,1928,3543,3534,1872,2874,503
2953,1891,3502,3502,1849,2888,503
2949,1891,3488,3502,1872,2855,503
2972,1942,3539,3502,1877,2869,503
2935,1895,3549,3483,1877,2860,515
2958,1900,3525,3492,1844,2892,503
2921,1952,3549,3488,1848,2892,503
2949,1900,3553,3511,1867,2860,503
2963,1909,3525,3511,1891,2874,503
2963,1928,3530,3492,1886,2888,515
2963,1895,3525,3478,1844,2850,515
2953,1923,3520,3497,1848,2860,503
2939,1905,3516,3492,1881,2855,503
2996,1909,3534,3520,1891,2869,492
2921,1928,3544,3511,1872,2860,503
2958,1914,3549,3506,1872,2841,515
2986,1923,3534,3492,1872,2897,503
2963,1914,3516,3483,1881,2883,503
2968,1923,3534,3502,1844,2878,515
2977,1923,3516,3511,1872,2822,492
2939,1928,3557,3497,1900,2860,503
2953,1919,3520,3516,1858,2869,503
2963,1919,3548,3506,1886,2892,503
2930,1905,3516,3459,1886,2897,515
2953,1905,3544,3488,1867,2888,503
2953,1909,3544,3488,1862,2874,503
2944,1923,3492,3506,1881,2869,503
2949,1923,3506,3511,1848,2846,503
2968,1905,3549,3473,1881,2874,503
2930,1900,3530,3502,1919,2855,515
3000,1923,3544,3492,1853,2883,503
2958,1919,3549,3473,1895,2921,503
2944,1923,3497,3478,1895,2878,503
2944,1905,3497,3455,1858,2860,503
2944,1928,3534,3516,1862,2869,515
2939,1923,3520,3511,1877,2864,503
2958,1923,3548,3511,1881,2874,515
2968,1909,3549,3492,1891,2869,503
2939,1928,3549,3497,1862,2860,503
2921,1923,3539,3506,1881,2869,515
2958,1928,3497,3473,1853,2892,503
2949,1909,3516,3455,1853,2864,503
2953,1928,3520,3492,1900,2874,503
2944,1905,3544,3478,1848,2864,503
2935,1914,3543,3450,1877,2860,503
3000,1919,3549,3469,1877,2878,515
3010,1891,3539,3488,1858,2841,503
2944,1928,3530,3488,1867,2855,503
2972,1919,3511,3506,1848,2864,503
2939,1914,3525,3516,1881,2869,503
2944,1919,3549,3488,1872,2874,503
2944,1900,3544,3511,1872,2822,515
2930,1919,3525,3464,1848,2897,503
2972,1900,3544,3497,1872,2888,503
2930,1923,3534,3483,1881,2846,503
2939,1933,3539,3506,1862,2846,503
2958,1905,3530,3492,1895,2864,503
2949,1938,3516,3488,1872,2846,503
2972,1923,3544,3469,1891,2878,503
2935,1952,3520,3502,1858,2864,503
2968,1938,3516,3497,1900,2846,503
2958,1928,3549,3483,1867,2874,503
2935,1905,3516,3506,1881,2878,503
2953,1923,3543,3506,1858,2883,503
2977,1909,3548,3516,1877,2883,503
2949,1914,3520,3492,1877,2855,503
2953,1909,3539,3502,1877,2864,503
2972,1919,3539,3488,1848,2860,515
2958,1909,3544,3516,1858,2878,515
2944,1933,3530,3473,1848,2888,503
2958,1938,3520,3497,1872,2883,503
2939,1905,3553,3478,1858,2921,503
2953,1905,3544,3511,1877,2860,503
2949,1919,3553,3502,1862,2855,503
2963,1938,3530,3492,1886,2883,515
2949,1905,3506,3520,1867,2892,503
2972,1914,3506,3497,1891,2888,503
2991,1919,3553,3478,1886,2902,503
2972,1905,3511,3478,1895,2846,503
2968,1923,3511,3473,1867,2883,503
2958,1905,3534,3488,1867,2888,503
2958,1905,3530,3516,1909,2883,515
2972,1900,3543,3492,1853,2836,503
2939,1909,3557,3483,1881,2846,503
2963,1900,3506,3497,1862,2878,503
2944,1900,3506,3497,1849,2902,515
2949,1928,3557,3497,1877,2855,503
2958,1923,3506,3497,1840,2860,503
2968,1909,3530,3511,1891,2878,503
2935,1909,3534,3534,1872,2878,503
2958,1938,3516,3464,1858,2841,503
2963,1905,3530,3506,1853,2846,503
2977,1942,3516,3502,1844,2883,503
2944,1933,3553,3492,1872,2827,503
2944,1919,3549,3478,1853,2869,503
2953,1923,3520,3520,1862,2883,503
2968,1928,3506,3492,1877,2864,503
2944,1933,3543,3511,1895,2892,503
2963,1919,3548,3483,1877,2869,503
2958,1881,3544,3483,1853,2855,503
2963,1895,3506,3506,1853,2869,503
2944,1928,3520,3525,1862,2864,503
2991,1919,3557,3534,1872,2841,503
2977,1914,3525,3473,1877,2874,515
2935,1905,3478,3530,1853,2864,503
2916,1905,3497,3492,1881,2878,503
2939,1891,3548,3497,1853,2864,503
2944,1909,3539,3478,1862,2841,503
2953,1891,3530,3530,1886,2841,503
2939,1900,3539,3525,1872,2907,503
2949,1905,3506,3506,1877,2841,503
2968,1905,3506,3506,1881,2892,503
2963,1891,3483,3488,1881,2860,503
2939,1938,3520,3469,1849,2888,503
2939,1938,3520,3492,1862,2850,503
2939,1942,3543,3488,1886,2883,503
2953,1909,3553,3506,1872,2883,503
2939,1928,3502,3520,1919,2897,503
2996,1952,3549,3483,1877,2874,503
2968,1919,3492,3473,1848,2846,515
2953,1909,3539,3478,1858,2878,503
2944,1909,3543,3506,1914,2878,515
2963,1909,3553,3525,1877,2841,503
2972,1905,3516,3525,1858,2874,503
2949,1895,3525,3506,1891,2864,503
2968,1909,3516,3492,1881,2883,503
2963,1928,3516,3511,1862,2883,492
2968,1928,3525,3469,1844,2874,503
2968,1919,3506,3502,1877,2897,515
2972,1933,3539,3488,1881,2888,515
2977,1923,3506,3492,1900,2864,503
2968,1881,3516,3488,1848,2892,503
2939,1895,3549,3511,1877,2902,503
2944,1928,3539,3506,1909,2925,503
2953,1923,3520,3483,1881,2860,503
2944,1914,3539,3478,1872,2874,503
2939,1928,3525,3506,1881,2846,503
2944,1956,3549,3534,1900,2860,503
2921,1942,3544,3502,1862,2832,503
2949,1923,3530,3441,1849,2864,503
2949,1942,3539,3478,1872,2883,503
2953,1891,3516,3497,1886,2892,503
2944,1909,3506,3497,1872,2860,503
2996,1905,3530,3506,1891,2874,515
2986,1909,3544,3459,1891,2864,503
2972,1928,3548,3488,1844,2860,503
2921,1877,3502,3506,1862,2841,503
2944,1933,3534,3492,1862,2864,503
2930,1933,3502,3497,1862,2874,503
2939,1905,3544,3502,1877,2860,503
2944,1909,3502,3511,1862,2883,503
3000,1933,3492,3502,1895,2874,503
2939,1905,3543,3502,1862,2883,503
2982,1923,3511,3492,1886,2846,515
2949,1895,3543,3525,1844,2832,503
2949,1928,3534,3492,1877,2869,503
2977,1919,3516,3516,1905,2869,515
2977,1942,3520,3497,1895,2869,503
2949,1900,3548,3502,1895,2897,503
2958,1947,3502,3497,1891,2855,503
2982,1928,3534,3502,1891,2827,503
2944,1895,3548,3483,1867,2864,503
2982,1919,3497,3488,1853,2878,503
2930,1923,3511,3516,1849,2855,503
2930,1909,3539,3525,1872,2878,503
2953,1886,3553,3488,1905,2855,503
2958,1933,3530,3483,1867,2855,503
2968,1886,3544,3488,1877,2878,503
2935,1933,3530,3511,1886,2864,503
2963,1909,3549,3506,1881,2878,492
2953,1905,3553,3502,1844,2864,503
2972,1914,3525,3459,1853,2869,503
2982,1933,3543,3483,1867,2869,503
2949,1891,3525,3459,1858,2874,503
2944,1919,3549,3478,1867,2864,503
2977,1923,3548,3483,1891,2817,503
2958,1905,3502,3492,1872,2902,503
2968,1895,3549,3516,1844,2883,503
2939,1905,3534,3483,1895,2864,492
2953,1919,3544,3516,1872,2874,503
2939,1928,3525,3511,1848,2907,503
2982,1942,3520,3473,1862,2874,503
2963,1933,3534,3492,1867,2869,503
2935,1919,3553,3506,1905,2841,503
2935,1909,3502,3516,1877,2878,503
2944,1933,3511,3497,1905,2883,503
2949,1923,3520,3492,1895,2841,515
2935,1928,3534,3492,1862,2850,503
2963,1933,3539,3478,1886,2850,503
2977,1905,3543,3473,1862,2860,503
2977,1928,3539,3497,1900,2860,515
2958,1923,3548,3473,1848,2855,503
2972,1933,3549,3511,1867,2864,492
2925,1914,3506,3516,1853,2864,503
2953,1905,3506,3497,1881,2874,503
3010,1928,3511,3520,1881,2832,503
2958,1923,3525,3473,1872,2897,503
2939,1919,3502,3502,1886,2897,503
3005,1919,3534,3488,1840,2883,515
2963,1909,3520,3511,1849,2888,503
2963,1900,3544,3483,1844,2874,503
2972,1938,3516,3492,1858,2860,503
2949,1947,3511,3469,1844,2841,503
2953,1900,3483,3469,1877,2864,503
2977,1919,3511,3516,1877,2864,503
2958,1905,3539,3478,1891,2869,503
2972,1905,3497,3483,1881,2846,503
3000,1919,3511,3506,1881,2869,503
2972,1933,3543,3492,1881,2860,503
2991,1914,3520,3483,1877,2864,503
2982,1900,3539,3478,1895,2864,515
2968,1914,3548,3506,1877,2855,503
2953,1928,3539,3488,1881,2892,503
3000,1914,3516,3502,1821,2860,503
2982,1947,3516,3492,1881,2874,503
2958,1928,3544,3488,1867,2883,503
2949,1919,3492,3492,1895,2869,503
2963,1909,3492,3520,1881,2902,503
2963,1933,3511,3483,1877,2860,515
2968,1919,3539,3502,1862,2864,503
2953,1909,3511,3520,1877,2850,503
2963,1909,3553,3469,1886,2846,503
2949,1923,3520,3483,1858,2855,503
2963,1900,3516,3506,1858,2846,503
2963,1900,3492,3534,1872,2869,503
2953,1895,3544,3450,1891,2874,503
2953,1905,3539,3502,1919,2850,503
2977,1933,3543,3483,1853,2850,503
2958,1928,3506,3492,1848,2874,503
2953,1923,3530,3478,1844,2874,503
2982,1909,3511,3492,1830,2855,515
2991,1919,3497,3520,1835,2860,503
3014,1928,3530,3469,1858,2869,503
2986,1923,3502,3516,1895,2874,515
2963,1914,3539,3483,1877,2860,503
2953,1905,3543,3506,1881,2878,503
2949,1919,3530,3450,1900,2888,503
2935,1914,3543,3525,1849,2878,503
2958,1909,3548,3469,1862,2846,515
2958,1900,3539,3497,1867,2841,503
2972,1914,3544,3488,1858,2874,503
2972,1895,3530,3488,1895,2841,492
2991,1923,3549,3511,1886,2850,503
2982,1914,3544,3492,1848,2836,503
3000,1933,3549,3502,1826,2874,503
3014,1891,3543,3511,1886,2892,503
3005,1914,3548,3483,1881,2836,503
2968,1942,3530,3516,1895,2850,503
2939,1891,3548,3455,1848,2892,503
2949,1895,3530,3516,1862,2907,503
2982,1909,3511,3511,1872,2869,503
2963,1919,3488,3497,1891,2869,503
2944,1905,3534,3483,1853,2874,503
2958,1923,3548,3525,1844,2883,503
3000,1905,3525,3497,1862,2855,503
2968,1914,3548,3520,1881,2874,503
2982,1914,3548,3506,1886,2846,503
2958,1919,3549,3488,1844,2874,503
2953,1919,3502,3473,1844,2878,503
2968,1942,3539,3502,1881,2855,503
2953,1928,3571,3478,1867,2888,503
2949,1923,3511,3502,1844,2888,503
2939,1933,3520,3502,1881,2902,503
2972,1938,3525,3497,1872,2883,503
2972,1905,3530,3483,1872,2869,503
3000,1909,3543,3502,1867,2892,503
2949,1909,3539,3544,1881,2902,503
2944,1914,3520,3492,1872,2883,503
2996,1905,3544,3525,1853,2888,503
2968,1942,3549,3473,1848,2855,503
2958,1914,3548,3459,1881,2855,515
2972,1919,3549,3511,1849,2869,503
2968,1905,3539,3497,1867,2874,503
2958,1914,3530,3478,1877,2878,503
2986,1919,3544,3473,1891,2878,503
2982,1905,3530,3483,1862,2846,503
2977,1919,3553,3506,1895,2883,503
2939,1909,3543,3492,1900,2883,503
2968,1923,3530,3511,1830,2883,503
2949,1923,3520,3511,1881,2850,503
2944,1919,3553,3497,1886,2883,503
2953,1933,3539,3511,1886,2888,492
2972,1900,3553,3464,1862,2869,503
2958,1900,3549,3516,1900,2883,503
2949,1895,3516,3488,1849,2878,503
2939,1933,3553,3520,1877,2888,515
2939,1923,3520,3459,1895,2860,503
2977,1923,3534,3502,1877,2888,503
2958,1914,3534,3520,1872,2892,503
2977,1914,3534,3488,1853,2869,503
2958,1914,3525,3473,1881,2878,503
2958,1909,3520,3516,1891,2846,503
2968,1919,3544,3455,1840,2846,503
2972,1947,3525,3502,1862,2864,503
2977,1900,3534,3478,1848,2883,503
2949,1919,3544,3516,1862,2832,503
2949,1923,3543,3483,1872,2883,503
2949,1933,3543,3516,1858,2888,503
2968,1933,3506,3492,1895,2878,503
2944,1919,3549,3488,1862,2860,503
2944,1909,3525,3520,1886,2874,503
2944,1923,3549,3488,1895,2855,503
2939,1933,3530,3534,1844,2888,503
2925,1928,3520,3469,1862,2878,503
2930,1919,3516,3478,1895,2841,503
2982,1909,3520,3497,1900,2860,503
2930,1909,3506,3478,1891,2817,503
2968,1905,3530,3488,1844,2874,503
2953,1923,3534,3459,1877,2869,503
3000,1923,3516,3530,1872,2911,503
2949,1942,3539,3520,1886,2836,503
2958,1900,3534,3464,1891,2846,503
2953,1900,3530,3492,1867,2874,503
2968,1919,3506,3473,1862,2855,503
2977,1895,3497,3525,1858,2878,503
2972,1905,3497,3516,1881,2864,503
2972,1914,3530,3488,1877,2883,503
2968,1938,3548,3469,1881,2846,503
